Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
SYNCOPE,18,NAIVE_BAYES,GREEDYSTEPWISE,4,23,630,13,0.0,0.14814814814814814,0.23529411764705882,0.8220881001711557,0.15552132203627245,0.1818181818181818
SYNCOPE,18,NAIVE_BAYES,OVERSAMPLING,5,73,580,12,0.0,0.0641025641025641,0.29411764705882354,0.7970002702459238,0.06636283156824753,0.10526315789473684
SYNCOPE,18,NAIVE_BAYES,UNDERSAMPLING,6,83,570,11,0.0,0.06741573033707865,0.35294117647058826,0.7939825240969282,0.07374180074712482,0.11320754716981131
SYNCOPE,18,NAIVE_BAYES,SMOTE,6,83,570,11,0.0,0.06741573033707865,0.35294117647058826,0.7942527700207188,0.07374180074712482,0.11320754716981131
SYNCOPE,18,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,6,83,570,11,193.0,0.06741573033707865,0.35294117647058826,0.612917755157193,0.07374180074712482,0.11320754716981131
SYNCOPE,19,NAIVE_BAYES,NONE,5,28,743,36,0.0,0.15151515151515152,0.12195121951219512,0.8220556135522444,0.09435014464466181,0.13513513513513514
SYNCOPE,19,NAIVE_BAYES,BESTFIRST,5,24,747,36,0.0,0.1724137931034483,0.12195121951219512,0.8275125747366423,0.10543130990415328,0.14285714285714285
SYNCOPE,19,NAIVE_BAYES,GREEDYSTEPWISE,5,24,747,36,0.0,0.1724137931034483,0.12195121951219512,0.8275125747366423,0.10543130990415328,0.14285714285714285
SYNCOPE,19,NAIVE_BAYES,OVERSAMPLING,5,28,743,36,0.0,0.15151515151515152,0.12195121951219512,0.8136091866755243,0.09435014464466181,0.13513513513513514
SYNCOPE,19,NAIVE_BAYES,UNDERSAMPLING,8,36,735,33,0.0,0.18181818181818182,0.1951219512195122,0.8181329284109962,0.14345991561181395,0.18823529411764706
SYNCOPE,19,NAIVE_BAYES,SMOTE,7,36,735,34,0.0,0.16279069767441862,0.17073170731707318,0.8241434943532314,0.12123929377570296,0.16666666666666669
SYNCOPE,19,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,8,35,736,33,365.0,0.18604651162790697,0.1951219512195122,0.5748631805384201,0.146346742524968,0.1904761904761905
SYNCOPE,20,NAIVE_BAYES,NONE,5,61,739,13,0.0,0.07575757575757576,0.2777777777777778,0.8327083333333334,0.08749397009165404,0.11904761904761905
SYNCOPE,20,NAIVE_BAYES,BESTFIRST,6,63,737,12,0.0,0.08695652173913043,0.3333333333333333,0.8434027777777777,0.1067528610116193,0.13793103448275862
SYNCOPE,20,NAIVE_BAYES,GREEDYSTEPWISE,6,63,737,12,0.0,0.08695652173913043,0.3333333333333333,0.8434027777777777,0.1067528610116193,0.13793103448275862
SYNCOPE,20,NAIVE_BAYES,OVERSAMPLING,5,60,740,13,0.0,0.07692307692307693,0.2777777777777778,0.8322916666666667,0.08908685968819632,0.12048192771084337
SYNCOPE,20,NAIVE_BAYES,UNDERSAMPLING,5,67,733,13,0.0,0.06944444444444445,0.2777777777777778,0.8332986111111111,0.07867319930168415,0.11111111111111113
SYNCOPE,20,NAIVE_BAYES,SMOTE,5,69,731,13,0.0,0.06756756756756757,0.2777777777777778,0.8356597222222222,0.07598633458232372,0.10869565217391305
SYNCOPE,20,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,5,69,731,13,199.0,0.06756756756756757,0.2777777777777778,0.5957638888888889,0.07598633458232372,0.10869565217391305
SYNCOPE,21,NAIVE_BAYES,NONE,3,249,1290,9,0.0,0.011904761904761904,0.25,0.47625622698722114,0.008076030697840264,0.022727272727272724
SYNCOPE,21,NAIVE_BAYES,BESTFIRST,1,57,1482,11,0.0,0.017241379310344827,0.08333333333333333,0.5706356941737059,0.015954766836477136,0.028571428571428574
SYNCOPE,21,NAIVE_BAYES,GREEDYSTEPWISE,1,57,1482,11,0.0,0.017241379310344827,0.08333333333333333,0.5706356941737059,0.015954766836477136,0.028571428571428574
SYNCOPE,21,NAIVE_BAYES,OVERSAMPLING,3,254,1285,9,0.0,0.011673151750972763,0.25,0.4739278752436647,0.007634089200610365,0.022304832713754646
SYNCOPE,21,NAIVE_BAYES,UNDERSAMPLING,3,329,1210,9,0.0,0.009036144578313253,0.25,0.47909898202295864,0.0025457783460429424,0.01744186046511628
SYNCOPE,21,NAIVE_BAYES,SMOTE,3,336,1203,9,0.0,0.008849557522123894,0.25,0.4800194931773879,0.0021817571536463256,0.017094017094017092
SYNCOPE,21,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,3,315,1224,9,405.0,0.009433962264150943,0.25,0.5226608187134503,0.003320124236907134,0.01818181818181818
SYNCOPE,22,NAIVE_BAYES,NONE,26,211,733,11,0.0,0.10970464135021098,0.7027027027027027,0.8131012368300504,0.1332266692138692,0.18978102189781024
SYNCOPE,22,NAIVE_BAYES,BESTFIRST,8,27,917,29,0.0,0.22857142857142856,0.21621621621621623,0.7961950297755382,0.19261632521089905,0.22222222222222224
SYNCOPE,22,NAIVE_BAYES,GREEDYSTEPWISE,8,27,917,29,0.0,0.22857142857142856,0.21621621621621623,0.7961950297755382,0.19261632521089905,0.22222222222222224
SYNCOPE,22,NAIVE_BAYES,OVERSAMPLING,25,205,739,12,0.0,0.10869565217391304,0.6756756756756757,0.8134877462207971,0.13078433854483532,0.18726591760299624
SYNCOPE,22,NAIVE_BAYES,UNDERSAMPLING,30,333,611,7,0.0,0.08264462809917356,0.8108108108108109,0.8070888685295465,0.08753672668778616,0.15
SYNCOPE,22,NAIVE_BAYES,SMOTE,30,310,634,7,0.0,0.08823529411764706,0.8108108108108109,0.8122280119102153,0.09777269733692677,0.15915119363395228
SYNCOPE,22,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,29,273,671,8,353.0,0.09602649006622517,0.7837837837837838,0.7472944342647733,0.11137580550012714,0.1710914454277286
SYNCOPE,23,NAIVE_BAYES,NONE,12,88,942,48,0.0,0.12,0.2,0.7166423948220064,0.08719211822660065,0.15
SYNCOPE,23,NAIVE_BAYES,BESTFIRST,6,16,1014,54,0.0,0.2727272727272727,0.1,0.7561569579288026,0.12035969564215003,0.14634146341463417
SYNCOPE,23,NAIVE_BAYES,GREEDYSTEPWISE,6,16,1014,54,0.0,0.2727272727272727,0.1,0.7561569579288026,0.12035969564215003,0.14634146341463417
SYNCOPE,23,NAIVE_BAYES,OVERSAMPLING,12,86,944,48,0.0,0.12244897959183673,0.2,0.7186650485436893,0.08974199177365089,0.15189873417721522
SYNCOPE,23,NAIVE_BAYES,UNDERSAMPLING,20,100,930,40,0.0,0.16666666666666666,0.3333333333333333,0.7212621359223301,0.16061606160616054,0.2222222222222222
SYNCOPE,23,NAIVE_BAYES,SMOTE,22,117,913,38,0.0,0.15827338129496402,0.36666666666666664,0.7182928802588997,0.15622034660140807,0.22110552763819094
SYNCOPE,23,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,17,109,921,43,539.0,0.1349206349206349,0.2833333333333333,0.5887540453074434,0.11693849269800641,0.18279569892473116
SYNCOPE,24,NAIVE_BAYES,NONE,20,63,1046,55,0.0,0.24096385542168675,0.26666666666666666,0.7681815449353773,0.1999175361638283,0.2531645569620253
SYNCOPE,24,NAIVE_BAYES,BESTFIRST,12,30,1079,63,0.0,0.2857142857142857,0.16,0.7579801623083859,0.1672565568563399,0.20512820512820512
SYNCOPE,24,NAIVE_BAYES,GREEDYSTEPWISE,12,30,1079,63,0.0,0.2857142857142857,0.16,0.7579801623083859,0.1672565568563399,0.20512820512820512
SYNCOPE,24,NAIVE_BAYES,OVERSAMPLING,22,67,1042,53,0.0,0.24719101123595505,0.29333333333333333,0.7671295461376616,0.21427228385298586,0.26829268292682923
SYNCOPE,24,NAIVE_BAYES,UNDERSAMPLING,26,88,1021,49,0.0,0.22807017543859648,0.3466666666666667,0.7690351668169522,0.2151580251214462,0.2751322751322751
SYNCOPE,24,NAIVE_BAYES,SMOTE,27,98,1011,48,0.0,0.216,0.36,0.7676405169822663,0.20722770006879151,0.27
SYNCOPE,24,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,25,83,1026,50,583.0,0.23148148148148148,0.3333333333333333,0.6292455665764953,0.21449379464463922,0.273224043715847
SYNCOPE,25,NAIVE_BAYES,NONE,38,297,1102,41,0.0,0.11343283582089553,0.4810126582278481,0.7151491571737498,0.10626482658928502,0.18357487922705318
