LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
215,215,1,0,1,215,215,215,215,215.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
143,143,1,0,1,143,143,143,143,143.0,0.0,NO
233,257,6,0,2,245,234,233,234,38.833332,0.0,NO
311,341,3,0,1,326,304,311,304,103.666664,0.0,NO
258,258,1,0,1,258,258,258,258,258.0,0.0,NO
207,227,2,0,1,217,207,207,207,103.5,0.0,NO
119,119,1,0,1,119,119,119,119,119.0,0.0,NO
110,110,1,0,1,110,110,110,110,110.0,0.0,NO
26,26,1,0,1,26,26,26,26,26.0,0.0,NO
79,79,1,0,1,79,79,79,79,79.0,0.0,NO
135,135,1,0,1,135,135,135,135,135.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
506,506,1,0,1,506,506,506,506,506.0,0.0,NO
165,185,3,0,2,175,157,165,157,55.0,0.0,NO
399,425,2,0,2,412,370,399,370,199.5,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
232,232,1,0,1,232,232,232,232,232.0,0.0,NO
106,152,2,0,2,129,110,106,110,53.0,0.0,NO
111,139,3,0,2,125,102,111,102,37.0,0.0,NO
51,51,1,0,1,51,51,51,51,51.0,0.0,NO
104,116,2,0,2,110,92,104,92,52.0,0.0,NO
133,133,1,0,1,133,133,133,133,133.0,0.0,NO
705,805,3,0,2,755,643,705,643,235.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
495,495,2,0,2,495,493,495,493,247.5,0.0,NO
189,189,1,0,1,189,189,189,189,189.0,0.0,NO
50,50,1,0,1,50,50,50,50,50.0,0.0,NO
178,178,1,0,1,178,178,178,178,178.0,0.0,NO
67,67,1,0,1,67,67,67,67,67.0,0.0,NO
61,61,1,0,1,61,61,61,61,61.0,0.0,NO
793,875,5,0,2,834,786,793,786,158.6,0.0,NO
36,36,1,0,1,36,36,36,36,36.0,0.0,NO
45,45,1,0,1,45,45,45,45,45.0,0.0,NO
69,69,1,0,1,69,69,69,69,69.0,0.0,NO
105,105,1,0,1,105,105,105,105,105.0,0.0,NO
96,96,1,0,1,96,96,96,96,96.0,0.0,NO
165,167,2,0,2,166,165,165,165,82.5,0.0,NO
247,247,1,0,1,247,247,247,247,247.0,0.0,NO
66,66,1,0,1,66,66,66,66,66.0,0.0,NO
164,164,1,0,1,164,164,164,164,164.0,0.0,NO
134,134,2,0,2,134,124,134,124,67.0,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
144,144,1,0,1,144,144,144,144,144.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
71,71,1,0,1,71,71,71,71,71.0,0.0,NO
295,341,2,0,2,318,282,295,282,147.5,0.0,NO
88,88,1,0,1,88,88,88,88,88.0,0.0,NO
141,155,3,0,1,148,142,141,142,47.0,0.0,NO
98,104,2,0,1,101,98,98,98,49.0,0.0,NO
200,268,2,0,1,234,186,200,186,100.0,0.0,NO
179,179,1,0,1,179,179,179,179,179.0,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
524,548,2,0,2,536,532,524,532,262.0,0.0,NO
310,310,1,0,1,310,310,310,310,310.0,0.0,NO
216,232,2,0,2,224,216,216,216,108.0,0.0,NO
49,87,2,0,2,68,54,49,54,24.5,0.0,NO
42,42,1,0,1,42,42,42,42,42.0,0.0,NO
42,42,1,0,1,42,42,42,42,42.0,0.0,NO
99,99,1,0,1,99,99,99,99,99.0,0.0,NO
85,85,1,0,1,85,85,85,85,85.0,0.0,NO
54,54,1,0,1,54,54,54,54,54.0,0.0,NO
251,271,2,0,2,261,211,251,211,125.5,0.0,NO
63,69,2,0,2,66,59,63,59,31.5,0.0,NO
72,84,2,0,2,78,68,72,68,36.0,0.0,NO
41,43,2,0,2,42,37,41,37,20.5,0.0,NO
75,89,3,0,2,82,75,75,75,25.0,0.0,NO
101,101,1,0,1,101,101,101,101,101.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
